lnchprg	enroll	staff	math10	totcomp
1.4	1862	112.6	56.4	44918
2.3	11355	101.2	42.7	59092
2.7	7685	114	43.8	51854
3.4	1148	85.4	25.3	37555
3.4	1572	96.1	15.3	35326
3.4	2496	101.1	46	42696
3.6	3358	87.6	33.6	44797
3.6	11983	96	40.1	48218
4.2	3499	102.8	42.1	43704
4.2	5095	145	39.8	40835
4.5	16793	106.9	30.8	49613
4.5	984	100.9	14.6	52064
5.1	1116	107.1	51.1	39992
5.5	4156	101.2	29.2	34995
5.5	4046	99.9	49.7	47439
5.6	10695	125.8	42.6	47613
5.8	3117	122.8	35	45138
6.1	2168	108.4	35.9	42091
6.2	2317	80.3	17.8	44337
6.2	1391	109.3	25.5	37510
6.3	3691	82.7	33.2	41946
6.3	1673	103	39.6	37939
6.7	2671	84.2	30.3	41977
6.8	650	97.6	54.8	41027
6.9	2119	89.2	62.4	39718
7.8	1002	110.8	29.7	30699
7.8	2549	84.6	36.9	49088
8	5805	98.9	22.4	38782
8	2822	91.3	23.9	48499
8.1	5491	98.4	39.2	41897
8.2	2331	120.5	22.9	46492
8.3	4725	95.7	27.8	47829
8.4	2629	102.5	36.9	40791
8.4	2475	119	37.3	40191
8.5	1278	94.5	21.3	34028
8.6	8016	95.4	48.7	43302
8.7	913	95.2	34.2	36481
8.8	891	93.7	32.8	40492
8.8	5125	102.8	33.2	41207
9	3263	101.7	31.7	34210
9.1	444	111.3	20	31028
9.1	10591	107	28	47662
9.2	13684	96.1	23.4	63518
9.3	5926	107.8	42.9	33129
9.3	2100	103	16.8	44563
9.4	669	105	30.9	36183
9.5	1789	83.2	16.2	45051
9.5	2674	89.6	23.6	55229
9.6	2405	99.4	18.1	39946
9.6	891	150.1	30.5	38478
9.7	2933	89.1	28.1	34992
9.7	1617	104.4	25.5	32145
9.7	3341	95.6	35.1	43983
9.7	4132	80.1	47.7	60400
9.8	4077	83.4	26.8	43592
9.9	4776	94.9	26.8	42627
10.2	734	85.8	25.5	40669
10.2	4242	81.4	32.2	55464
10.3	3299	68.9	36.6	42529
10.3	511	104.7	37.8	40508
10.4	10571	81	23.4	47877
10.5	1837	95	31.3	48170
10.6	3003	108.4	12.7	37833
10.6	3233	95.9	20.4	50035
10.7	2718	82.6	33.3	38508
10.7	3003	123.9	20.7	43012
10.8	4528	81.5	19.7	44098
11	2789	96.3	25	43210
11.1	2625	94.7	24.3	45252
11.1	3268	122.6	32.5	47402
11.2	1767	92.1	25.8	46219
11.4	5005	95.8	29.8	43823
11.7	1135	103.3	16	36661
11.7	3427	97.5	38.8	40175
11.9	2504	94.2	23.6	38163
11.9	1882	106.5	23.7	36554
12	2054	93.9	18.9	34939
12	3707	97.9	31.6	36306
12	2963	91.3	33.3	41732
12.3	3210	103.3	23.3	37495
12.4	760	108.1	25.4	33613
12.5	7653	114.6	29.6	54703
12.6	1039	95.2	13.5	39313
12.6	3084	93.4	24.1	40876
12.9	2656	112.7	24.3	32380
13.1	1860	92.3	14.8	38117
13.1	808	88	29.8	42238
13.1	4704	118	18.7	32393
13.1	4521	99.3	25.9	52488
13.2	2423	100.7	32.9	37996
13.3	2774	91.3	37.2	39295
13.4	4903	85.7	23.6	42697
13.7	4941	91.8	16.3	37420
13.7	4913	108.1	25.5	44586
14	4305	89.9	12.4	45864
14.1	3376	90.6	31	41403
14.1	682	110.3	30.2	32265
14.2	1824	96.9	40.1	45883
14.3	1663	93.8	27.6	37519
14.4	1480	101.3	30.5	31833
14.4	1844	102.5	21.1	32886
14.4	2221	113.5	14.5	37917
14.7	2064	106.3	20.5	32146
14.7	3434	99.9	32.2	37425
14.8	1647	99.9	21.5	32600
14.8	2670	100.8	24.5	34643
14.8	5759	103.6	30.7	42952
14.9	8201	93.3	27.2	51310
15	3087	93.9	24.8	39268
15	1689	95.2	24.8	38563
15.2	3626	96	26.8	38471
15.2	3394	86.9	18.3	44226
15.2	8777	114.7	43.9	45700
15.3	4350	97.5	17.9	42378
15.3	2170	95.7	19	54512
15.7	946	102.5	30.6	35986
15.9	899	111.8	18.9	33702
16	2363	102.1	25	34815
16	2553	98	12.6	41093
16.2	3480	92.7	14.4	37056
16.3	1766	86.7	18.3	40383
16.3	4192	104.3	26.6	35640
16.4	412	99.5	12.5	33049
16.4	1480	89.2	33.3	38197
16.4	1068	96.3	29.3	37229
16.5	1168	82.6	23.5	39313
16.7	894	94.7	17.6	35613
16.8	666	104.3	2.4	37044
16.9	964	101.3	29.2	32990
17	4035	90.1	19.7	42272
17.2	1122	104.3	23	39694
17.3	1623	99.5	33	31961
17.3	1491	95.9	23.7	38436
17.3	1765	118.4	15.4	43786
17.5	2195	80.1	32.7	40042
17.8	880	83.8	25	43659
18	1655	96.7	28.7	33325
18	3480	99	11	35028
18.1	1327	105.3	23.5	45103
18.3	1551	101.2	26.8	34288
18.3	5344	104.1	28.9	38619
18.4	1210	95.2	15.9	34709
18.4	222	122.5	53.8	38524
18.5	1165	104.7	15.4	34828
18.5	1026	110.9	39.7	42295
18.7	1601	92.4	16.4	45024
18.7	594	123	29.7	40647
18.9	2395	96.7	23.4	34029
18.9	9044	83.3	12.1	47598
19	1260	114.6	10.8	27146
19	1242	109.5	25.3	30932
19	5014	84.6	34.7	43626
19	14570	142	50.5	44040
19.1	7563	107.8	42.7	41678
19.2	1564	95.3	11.3	35358
19.2	10662	123.2	21.7	37462
19.3	2295	90.9	19.5	41041
19.4	3976	121.4	50.2	46683
19.5	2832	86.4	27.4	37608
19.6	2040	85.8	23	43650
19.6	2865	114.7	17.3	40749
19.7	2754	89.8	27.6	35861
19.7	2602	81.7	10.9	44058
19.8	2066	87.9	42.5	39023
19.9	3044	95.9	31.6	37949
20	2255	89	23.9	37412
20	2580	96.7	33.2	37928
20.1	2630	87.5	25.3	39816
20.1	3461	95.1	24	37896
20.1	2593	119.5	22.6	51776
20.2	2428	85.6	21.4	38918
20.2	740	115.9	9.8	30338
20.3	1703	97.1	37.5	36516
20.3	5046	104.8	16.7	36652
20.4	1818	92	21.7	38880
20.4	3830	96.1	27.2	39156
20.4	1119	100.5	10.4	37321
20.5	2102	99.4	16	36373
20.6	1499	89.9	22	35899
20.9	3016	94.5	19.7	33556
20.9	4797	86.3	21.8	46972
21.1	2840	95.9	26.3	35780
21.3	7003	109.3	14.8	34213
21.6	1750	91.5	12.4	36584
21.6	3945	91.5	28.4	37206
22	1712	91.5	13.2	36914
22	1202	100.7	25	35290
22.1	1305	93.6	19.2	33567
22.1	2624	89.4	20.6	41400
22.3	1438	86.2	16.7	36698
22.3	4306	93	27.1	39796
22.3	757	91.8	42.3	41598
22.6	967	89.4	36.8	34130
22.6	3959	95.1	24	39185
22.7	943	99	27.9	37114
22.9	1889	88.2	26.1	33406
23	10761	107	31.7	35658
23.1	1943	95.7	18.8	37267
23.2	1055	86.1	24	35350
23.4	913	92.7	36.8	37470
