"rs"	"idade"	"de2"	"de3"	"de4"	"dpt"	"dgen"
120	57	0	0	0	0	0
224	48	0	0	1	1	0
132	38	0	0	0	0	0
75	27	0	1	0	0	0
111	23	0	1	0	0	1
127	22	0	1	0	0	0
30	18	0	0	0	0	0
24	12	0	0	0	0	0
119	38	0	0	0	1	0
75	55	0	0	0	0	0
324	26	0	1	0	0	0
42	18	0	0	0	0	0
100	32	0	0	0	0	0
135.5	41	0	0	0	0	0
107	48	0	0	0	0	0
50	16	1	0	0	0	1
90	45	0	0	0	0	0
377	46	0	0	0	1	0
150	30	0	1	0	0	0
162	40	0	0	0	0	0
18	19	1	0	0	0	0
127.6	25	1	0	0	0	0
47.5	46	0	0	0	0	1
135	25	0	1	0	0	0
400	57	0	0	0	1	0
91.8	35	0	0	1	1	0
139.5	44	0	0	0	1	0
49.16	22	0	0	0	0	0
30	19	1	0	0	0	0
40.5	37	0	0	0	0	1
81	20	0	0	0	0	0
105	40	0	0	0	0	0
200	30	0	0	0	0	0
139.5	30	0	0	0	1	0
80	26	0	0	0	0	0
47	41	0	0	0	0	1
125	22	0	0	0	0	0
500	21	0	0	0	0	0
100	19	0	0	0	0	0
105	35	0	0	0	0	0
300	35	0	1	0	1	0
115.25	33	0	1	0	1	1
102.5	27	0	0	1	1	1
189.5	62	1	0	0	0	0
62.5	18	0	1	0	0	0
50	25	1	0	0	0	0
272.5	43	0	0	1	1	1
175	40	0	1	0	1	0
117	26	1	0	0	1	0
950	47	0	0	1	0	0
100	30	0	0	0	0	0
140	30	0	0	0	0	0
97	25	0	1	0	0	0
150	36	0	0	0	0	0
25	28	0	0	0	0	1
15	13	0	0	0	0	1
131	55	0	0	0	0	0
120	21	0	0	0	0	0
25	18	0	0	0	0	1
25	11	0	0	0	0	1
30	38	0	0	0	1	1
30	17	0	0	0	1	1
122	20	0	0	0	0	0
287.5	50	0	1	0	1	0
75	45	0	0	0	0	1
79	60	0	0	0	0	0
85.32	26	1	0	0	0	1
350	42	0	1	0	1	0
54	62	0	0	0	1	0
110	23	0	0	0	0	0
342	56	0	0	0	1	0
77.5	19	0	0	0	1	0
370	46	0	0	0	0	0
156	26	0	0	0	1	0
261.15	23	0	0	0	0	0
54	16	0	1	0	0	0
129.5	33	0	0	0	0	0
112	27	1	0	0	0	0
82	22	1	0	0	0	0
385	30	0	1	0	1	0
94.25	22	0	0	1	1	1
350	57	0	0	0	1	0
107.7	26	0	0	0	0	0
20	14	0	0	0	0	0
53.84	14	0	0	0	0	1
427	55	0	0	0	1	0
18	12	0	0	0	0	0
120	38	0	0	0	0	0
40.5	17	0	0	0	0	0
375	42	1	0	0	1	0
120	34	0	0	0	0	0
175	33	1	0	0	1	0
50	26	0	0	0	0	1
100	33	1	0	0	1	0
25	22	0	0	0	1	1
40	15	0	0	0	1	0
65	14	0	0	0	1	0
47.5	25	0	0	0	1	1
162.5	25	0	0	0	1	0
175	50	0	0	0	1	1
150	24	0	0	0	1	1
162.5	28	0	0	0	1	0
162.5	30	1	0	0	1	0
50	25	0	0	0	1	1
395	45	0	1	0	1	0
175	40	0	0	0	1	1
87.5	25	1	0	0	0	0
75	18	0	0	0	0	0
162.5	24	0	0	0	1	0
325	55	0	0	0	1	0
120.5	27	0	1	0	0	0
600	35	1	0	0	0	0
52	19	0	0	0	0	0
116.5	28	1	0	0	0	0
